,control_arable_land_p,experiment_arable_land_p,control_habitable,experiment_habitable,control_persistence_ad,control_persistence_al,experiment_persistence_ad,experiment_persistence_al
0,0.0,0.0,1494.0,1494.0,0,0,0,0
1,0.01,0.01,1494.0,1494.0,1532,1532,1469,1502
2,0.02,0.02,1494.0,1495.0,2544,2544,2311,2717
3,0.03,0.03,1494.0,1495.0,2777,2777,2495,3012
4,0.04,0.04,1494.0,1495.0,2849,2849,2546,3111
5,0.05,0.05,1494.0,1495.0,2869,2869,2556,3147
6,0.06,0.06,1494.0,1496.0,2868,2868,2550,3157
7,0.07,0.07,1494.0,1496.0,2859,2859,2539,3156
8,0.08,0.08,1494.0,1497.0,2846,2846,2525,3149
9,0.09,0.09,1494.0,1498.0,2831,2831,2511,3139
10,0.1,0.1,1494.0,1498.0,2816,2816,2498,3128
11,0.11,0.11,1494.0,1499.0,2800,2800,2485,3117
12,0.12,0.12,1494.0,1500.0,2785,2785,2473,3105
13,0.13,0.13,1494.0,1501.0,2770,2770,2463,3094
14,0.14,0.14,1494.0,1502.0,2755,2755,2453,3083
15,0.15,0.15,1494.0,1503.0,2741,2741,2444,3072
16,0.16,0.16,1494.0,1505.0,2728,2728,2436,3062
17,0.17,0.17,1494.0,1506.0,2715,2715,2429,3053
18,0.18,0.18,1494.0,1508.0,2702,2702,2423,3044
19,0.19,0.19,1494.0,1509.0,2690,2690,2418,3035
20,0.2,0.2,1494.0,1511.0,2678,2678,2413,3028
21,0.21,0.21,1494.0,1513.0,2667,2667,2410,3020
22,0.22,0.22,1494.0,1515.0,2656,2656,2407,3014
23,0.23,0.23,1494.0,1517.0,2645,2645,2404,3007
24,0.24,0.24,1494.0,1520.0,2635,2635,2402,3002
25,0.25,0.25,1494.0,1522.0,2624,2624,2401,2997
26,0.26,0.26,1494.0,1526.0,2615,2615,2401,2992
27,0.27,0.27,1494.0,1529.0,2605,2605,2401,2988
28,0.28,0.28,1494.0,1533.0,2596,2596,2403,2985
29,0.29,0.29,1494.0,1538.0,2586,2586,2405,2982
30,0.3,0.3,1494.0,1543.0,2577,2577,2408,2980
31,0.31,0.31,1494.0,1549.0,2569,2569,2411,2979
32,0.32,0.32,1494.0,1556.0,2560,2560,2416,2978
33,0.33,0.33,1494.0,1563.0,2552,2552,2422,2979
34,0.34,0.34,1494.0,1572.0,2544,2544,2429,2980
35,0.35000000000000003,0.35000000000000003,1494.0,1582.0,2536,2536,2437,2982
36,0.36,0.36,1494.0,1594.0,2528,2528,2447,2985
37,0.37,0.37,1494.0,1608.0,2520,2520,2459,2989
38,0.38,0.38,1494.0,1624.0,2513,2513,2472,2994
39,0.39,0.39,1494.0,1643.0,2505,2505,2487,3000
40,0.4,0.4,1494.0,1665.0,2498,2498,2504,3008
41,0.41000000000000003,0.41000000000000003,1494.0,1691.0,2491,2491,2523,3018
42,0.42,0.42,1494.0,1721.0,2484,2484,2545,3029
43,0.43,0.43,1494.0,1756.0,2477,2477,2570,3041
44,0.44,0.44,1494.0,1797.0,2471,2471,2597,3056
45,0.45,0.45,1494.0,1845.0,2464,2464,2627,3073
46,0.46,0.46,1494.0,1898.0,2458,2458,2661,3091
47,0.47000000000000003,0.47000000000000003,1494.0,1956.0,2451,2451,2697,3112
48,0.48,0.48,1494.0,2018.0,2445,2445,2736,3134
49,0.49,0.49,1494.0,2082.0,2439,2439,2778,3158
50,0.5,0.5,1494.0,2147.0,2433,2433,2820,3183
51,0.51,0.51,1494.0,2210.0,2428,2428,2864,3209
52,0.52,0.52,1494.0,2271.0,2422,2422,2907,3235
53,0.53,0.53,1494.0,2329.0,2416,2416,2948,3260
54,0.54,0.54,1494.0,2382.0,2411,2411,2989,3284
55,0.55,0.55,1494.0,2432.0,2406,2406,3027,3308
56,0.56,0.56,1494.0,2478.0,2400,2400,3062,3330
57,0.5700000000000001,0.5700000000000001,1494.0,2520.0,2395,2395,3096,3351
58,0.58,0.58,1494.0,2559.0,2390,2390,3127,3371
59,0.59,0.59,1494.0,2596.0,2385,2385,3157,3390
60,0.6,0.6,1494.0,2632.0,2380,2380,3185,3409
61,0.61,0.61,1494.0,2666.0,2375,2375,3212,3427
62,0.62,0.62,1494.0,2698.0,2371,2371,3238,3445
63,0.63,0.63,1494.0,2731.0,2366,2366,3263,3463
64,0.64,0.64,1494.0,2763.0,2361,2361,3289,3482
65,0.65,0.65,1494.0,2795.0,2357,2357,3314,3500
